id,upc,product_name,brand_name,recall_date,reason,source,severity,distribution_pattern,plain_language_summary,created_at
0,186852000396,talenti gelato toasted almond one pint talenti gelato,Talenti Gelato,6/25/13,Product contains undeclared Allergen; Pecans.,fda,Class II,"[AK, CT, ID, IL, IN, MD, MA, MT, NH, NJ, NY, NC, OH, PA, TN, VA, WA, WI]",,4/8/26
1,186852000631,talenti german chocolate cake gelato one pint talenti gelato,Talenti Gelato,9/10/13,Product contains undeclared Allergen; Almonds.,fda,Class II,"[AZ, CO, CT, DE, GA, IA, IN, MA, MD, MN, MO, NC, NH, NY, PA, TX, WI]",,4/8/26
2,208544170024,fruit tartlets lemon flavor ouhlala gourmet llc,Ouhlala Gourmet Llc,1/20/16,Products contain undeclared milk on finished product labeling,fda,Class II,"[EG, BM, UAE]",,4/8/26
3,,fruit tartlets raspberry flavor ouhlala gourmet llc,Ouhlala Gourmet Llc,1/20/16,Products contain undeclared milk on finished product labeling,fda,Class II,[USA],,4/8/26
4,100748651101,white cupcakes with yellow icing upc dessert innovations ii candy divison,Dessert Innovations II Candy Divison,4/26/16,Undeclared allergen; Peanut Protein,fda,Class II,"[GA, NC]",,4/8/26
5,100748651101,white cupcakes with white icing upc dessert innovations ii candy divison,Dessert Innovations II Candy Divison,4/26/16,Undeclared allergen; Peanut Protein,fda,Class II,"[GA, NC]",,4/8/26
6,100748651101,white cupcakes with pink icing upc dessert innovations ii candy divison,Dessert Innovations II Candy Divison,4/26/16,Undeclared allergen; Peanut Protein,fda,Class II,"[GA, NC]",,4/8/26
7,100748651101,white cupcakes with blue icing upc dessert innovations ii candy divison,Dessert Innovations II Candy Divison,4/26/16,Undeclared allergen; Peanut Protein,fda,Class II,"[GA, NC]",,4/8/26
8,,fresh long chili peppers raw patel shippers inc,Patel Shippers Inc,4/28/16,Product tested positive for Salmonella.,fda,Class I,"[FL, NY, VA]",,4/8/26
9,665603780379,eastern feast green raisin commerce international inc.,Commerce International Inc.,8/5/16,Initiated by the Florida Department of Agriculture and Consumer Services due to undeclared sulfites on the finished product label.,fda,Class I,[FL],,4/8/26
10,,eastern feast green raisin commerce international inc.,Commerce International Inc.,8/5/16,Initiated by the Florida Department of Agriculture and Consumer Services due to undeclared sulfites on the finished product label.,fda,Class I,"[FL, GA, NC, SC]",,4/8/26
11,,tasty sawa ground turmeric spices usa inc.,Spices USA Inc.,8/17/16,Product contains elevated levels of lead.,fda,Class I,[FL],,4/8/26
12,,"inland market maryland crab cake inland seafood, inc.","Inland Seafood, Inc.",8/19/16,Possible contamination with foreign matter; wood pieces.,fda,Class II,"[CT, FL, GA, MD, NC, NJ, NY, PA, SC, VA]",,4/8/26
13,,"reduced fat seafood cheese spread inland seafood, inc.","Inland Seafood, Inc.",8/19/16,Possible contamination with foreign matter; wood pieces.,fda,Class II,"[CT, FL, GA, MD, NC, NJ, NY, PA, SC, VA]",,4/8/26
14,,"original seafood cheese spread inland seafood, inc.","Inland Seafood, Inc.",8/19/16,Possible contamination with foreign matter; wood pieces.,fda,Class II,"[CT, FL, GA, MD, NC, NJ, NY, PA, SC, VA]",,4/8/26
15,,"spinach krab artichoke dip inland seafood, inc.","Inland Seafood, Inc.",8/19/16,Possible contamination with foreign matter; wood pieces.,fda,Class II,"[CT, FL, GA, MD, NC, NJ, NY, PA, SC, VA]",,4/8/26
16,,"alaskan salmon salad inland seafood, inc.","Inland Seafood, Inc.",8/19/16,Possible contamination with foreign matter; wood pieces.,fda,Class II,"[CT, FL, GA, MD, NC, NJ, NY, PA, SC, VA]",,4/8/26
17,,"inland market premium blue crab spread inland seafood, inc.","Inland Seafood, Inc.",8/19/16,Possible contamination with foreign matter; wood pieces.,fda,Class II,"[CT, FL, GA, MD, NC, NJ, NY, PA, SC, VA]",,4/8/26
18,,"inland market dungeness crab cake inland seafood, inc.","Inland Seafood, Inc.",8/19/16,Possible contamination with foreign matter; wood pieces.,fda,Class II,"[CT, FL, GA, MD, NC, NJ, NY, PA, SC, VA]",,4/8/26
19,,"smoked whitefish salad inland seafood, inc.","Inland Seafood, Inc.",8/19/16,Possible contamination with foreign matter; wood pieces.,fda,Class II,"[CT, FL, GA, MA, MD, NC, NJ, NY, PA, SC, VA]",,4/8/26
