upc,product_name,brand_name,category,ingredients
041190468935,Organic Almond Butter,Nature's Path,Spreads,Almonds|Honey|Salt
070038640196,Peanut Butter Cups,Reese's,Candy,Peanuts|Sugar|Palm Oil|Chocolate
011110787835,Broccoli Florets Frozen,Green Giant,Frozen Vegetables,Broccoli
041303054109,Plain Greek Yogurt,Chobani,Dairy,Milk|Live Cultures
052100032283,Frozen Spinach,Green Giant,Frozen Vegetables,Spinach
688267008757,Organic Baby Food Carrots,Plum Organics,Baby Food,Carrots|Water
012000161551,Corn Flakes Cereal,Kellogg's,Cereal,Corn|Sugar|Salt|Malt
041755001054,Vanilla Ice Cream,Ben & Jerry's,Ice Cream,Cream|Sugar|Vanilla
078742361383,Frozen Pizza Pepperoni,DiGiorno,Frozen Pizza,Flour|Cheese|Pepperoni|Tomato
037600437301,Chicken Broth,Swanson,Broth,Chicken Stock|Salt|Herbs
011110861122,Sweet Peas Frozen,Birds Eye,Frozen Vegetables,Peas|Salt
041497434954,Orange Juice Pulp Free,Tropicana,Juice,Orange Juice|Vitamin C
025000042126,Macaroni & Cheese,Kraft,Pasta,Pasta|Cheese Powder|Whey
041130581298,Granola Bars Chocolate,Nature Valley,Snacks,Oats|Chocolate|Honey
041220067183,Tomato Sauce,Prego,Sauces,Tomatoes|Onions|Garlic|Basil
011150541947,Canned Corn,Del Monte,Canned Vegetables,Corn|Water|Salt
688267141218,Fruit Pouches Mixed Berry,Plum Organics,Baby Food,Berries|Apple|Water
070330632776,Grape Jelly,Welch's,Spreads,Grapes|Sugar|Pectin
021000016631,BBQ Sauce Original,Sweet Baby Ray's,Sauces,Tomato|Vinegar|Sugar|Spices
041303091234,Greek Yogurt Vanilla,Chobani,Dairy,Milk|Vanilla|Sugar|Cultures
052100081234,Oreo Cookies,Nabisco,Cookies,Flour|Sugar|Chocolate|Palm Oil
070177031312,Salsa Medium,Tostitos,Sauces,Tomatoes|Peppers|Onions|Lime
041190001234,Maple Syrup,Nature's Path,Syrups,Maple Syrup
012000101234,Frosted Flakes,Kellogg's,Cereal,Corn|Sugar|Malt|Salt
041755021234,Chunky Monkey Ice Cream,Ben & Jerry's,Ice Cream,Cream|Banana|Walnuts|Chocolate
078742051234,Frozen Pizza Supreme,DiGiorno,Frozen Pizza,Flour|Cheese|Vegetables|Meat
037600111234,Vegetable Broth,Swanson,Broth,Vegetable Stock|Salt|Herbs
011110981234,Green Beans Frozen,Birds Eye,Frozen Vegetables,Green Beans
041497091234,Apple Juice,Tropicana,Juice,Apple Juice|Vitamin C
025000051234,Velveeta Shells & Cheese,Kraft,Pasta,Pasta|Cheese|Whey
041130061234,Protein Bars Peanut Butter,Nature Valley,Snacks,Oats|Peanut Butter|Protein
041220081234,Alfredo Sauce,Prego,Sauces,Cream|Parmesan|Garlic
011150081234,Canned Green Beans,Del Monte,Canned Vegetables,Green Beans|Water|Salt
688267121234,Organic Applesauce,Plum Organics,Baby Food,Apples|Water
070330081234,Strawberry Preserves,Welch's,Spreads,Strawberries|Sugar|Pectin
